Instance,N,Cost,Vehicles,Time_s,Alpha,Beta,Support,Fail_Gauss,Fail_SkewR,Fail_SkewL,Fail_HeavyT
A-n32-k5,31,762.0,5,603.49,0.1,0.5,QB,0.25498,0.23872,0.26642,0.20872
A-n39-k5,38,800.0,6,600.23,0.1,0.5,QB,0.250633,0.235367,0.2685,0.208067
A-n53-k7,52,987.0,7,600.51,0.1,0.5,QB,0.308171,0.286814,0.3323,0.251957
A-n60-k9,59,1273.0,8,600.49,0.1,0.5,QB,0.35005,0.325725,0.377788,0.289812
A-n69-k9,68,1087.0,8,600.49,0.1,0.5,QB,0.32715,0.30945,0.346262,0.259188
A-n80-k10,79,1693.0,9,600.54,0.1,0.5,QB,0.361167,0.337356,0.384689,0.304178
B-n31-k5,30,601.0,4,600.39,0.1,0.5,QB,0.327425,0.304725,0.3535,0.268225
B-n39-k5,38,522.0,5,600.55,0.1,0.5,QB,0.2114,0.19966,0.22918,0.16972
B-n50-k7,49,661.0,7,600.46,0.1,0.5,QB,0.184129,0.177129,0.1903,0.139957
B-n50-k8,49,1239.0,7,600.59,0.1,0.5,QB,0.387986,0.354357,0.4276,0.3353
B-n57-k7,56,1194.0,8,600.55,0.1,0.5,QB,0.1897,0.178312,0.20105,0.153662
B-n68-k9,67,1276.0,9,600.44,0.1,0.5,QB,0.361333,0.324467,0.403189,0.314111
B-n78-k10,77,1151.0,9,600.48,0.1,0.5,QB,0.372944,0.343144,0.407733,0.303978
